"","ensembl_gene_id","entrezgene_id","mgi_symbol","gene_biotype","chromosome_name","start_position","end_position"
"52","ENSMUSG00000095763",100039010,"","protein_coding","JH584299.1",806210,809281
"53","ENSMUSG00000095523",100038995,"","protein_coding","JH584299.1",837364,840451
"54","ENSMUSG00000095475",545763,"","protein_coding","JH584299.1",910289,913083
"55","ENSMUSG00000094855",620639,"","protein_coding","JH584299.1",921942,924675
"56","ENSMUSG00000094741",100503733,"","protein_coding","GL456354.1",6366,8939
"57","ENSMUSG00000079222",NA,"","protein_coding","GL456221.1",17591,30203
"58","ENSMUSG00000074720",NA,"","protein_coding","GL456354.1",25923,27230
"59","ENSMUSG00000094337",665290,"","protein_coding","GL456354.1",82993,86051
"60","ENSMUSG00000094874",102633783,"","protein_coding","GL456221.1",30394,32306
"61","ENSMUSG00000095500",NA,"","protein_coding","GL456221.1",32239,47294
"62","ENSMUSG00000095450",NA,"","protein_coding","GL456221.1",46295,46666
"63","ENSMUSG00000095570",624931,"","protein_coding","GL456354.1",146926,149659
"64","ENSMUSG00000094728",NA,"","protein_coding","GL456221.1",58743,59114
"65","ENSMUSG00000062783",114564,"","protein_coding","GL456221.1",111572,163011
"66","ENSMUSG00000096728",665755,"","protein_coding","GL456354.1",158543,161339
"67","ENSMUSG00000096808",NA,"","protein_coding","GL456221.1",151235,152734
"68","ENSMUSG00000095634",100039810,"Gm20816","protein_coding","Y",68549224,68551559
"69","ENSMUSG00000095634",100861743,"Gm20816","protein_coding","Y",68549224,68551559
"70","ENSMUSG00000095634",100862360,"Gm20816","protein_coding","Y",68549224,68551559
"71","ENSMUSG00000095634",108168596,"Gm20816","protein_coding","Y",68549224,68551559
"72","ENSMUSG00000100032",NA,"Gm20817","protein_coding","Y",68817865,68843997
"73","ENSMUSG00000094789",NA,"Gm28490","protein_coding","Y",31558069,31590101
"74","ENSMUSG00000102388",NA,"Gm33815","protein_coding","Y",69332401,69343130
"75","ENSMUSG00000095263",NA,"Gm21094","protein_coding","Y",32543760,32575788
"76","ENSMUSG00000099550",75204,"Gm28079","protein_coding","Y",70015477,70026168
"77","ENSMUSG00000099530",NA,"Gm29644","protein_coding","Y",70282575,70314612
"78","ENSMUSG00000094052",100861667,"Gm21118","protein_coding","Y",70282575,70284911
"79","ENSMUSG00000101725",NA,"Gm29423","protein_coding","Y",70303854,70314556
"80","ENSMUSG00000095011",NA,"Gm20838","protein_coding","Y",33466461,33498509
"81","ENSMUSG00000094616",108168524,"Gm20888","protein_coding","Y",70453151,70479427
"82","ENSMUSG00000094616",108168527,"Gm20888","protein_coding","Y",70453151,70479427
"83","ENSMUSG00000094616",108168532,"Gm20888","protein_coding","Y",70453151,70479427
"84","ENSMUSG00000094616",108168595,"Gm20888","protein_coding","Y",70453151,70479427
"85","ENSMUSG00000099531",NA,"Gm20869","protein_coding","Y",71480718,71506901
"86","ENSMUSG00000100535",73329,"Gm20870","protein_coding","Y",71703312,71729495
"87","ENSMUSG00000095793",108168545,"Gm20855","protein_coding","Y",35061029,35087178
"88","ENSMUSG00000096902",108168524,"Gm20843","protein_coding","Y",72232132,72258387
"89","ENSMUSG00000096902",108168530,"Gm20843","protein_coding","Y",72232132,72258387
"90","ENSMUSG00000096902",108168532,"Gm20843","protein_coding","Y",72232132,72258387
"91","ENSMUSG00000096902",108168595,"Gm20843","protein_coding","Y",72232132,72258387
"92","ENSMUSG00000096650",108168555,"Gm20896","protein_coding","Y",35850673,35876871
"93","ENSMUSG00000099782",100042110,"Gm20903","protein_coding","Y",73680584,73706755
"94","ENSMUSG00000101933",108168509,"Gm20835","protein_coding","Y",36664443,36690635
"95","ENSMUSG00000101528",NA,"Gm29110","protein_coding","Y",74481800,74508227
"96","ENSMUSG00000101157",108168510,"Gm20905","protein_coding","Y",37188765,37214948
"97","ENSMUSG00000094507",NA,"Gm21913","protein_coding","Y",74635165,74636247
"98","ENSMUSG00000094575",382133,"Gm20738","protein_coding","Y",37913156,37915490
"99","ENSMUSG00000094575",108168660,"Gm20738","protein_coding","Y",37913156,37915490
"100","ENSMUSG00000101146",108167378,"Gm20814","protein_coding","Y",75207125,75233327
"101","ENSMUSG00000100902",100040712,"Gm20850","protein_coding","Y",75726591,75752818
"102","ENSMUSG00000100892",108168548,"Gm20897","protein_coding","Y",38431406,38457583
"103","ENSMUSG00000094404",NA,"Gm21776","protein_coding","Y",76389931,76391013
"104","ENSMUSG00000100708",NA,"Gm21173","protein_coding","Y",76772869,76798998
"105","ENSMUSG00000093895",108168511,"Gm21865","protein_coding","Y",40246135,40272248
"106","ENSMUSG00000094354",NA,"Gm21882","protein_coding","Y",40335786,40336868
"107","ENSMUSG00000094647",108168524,"Gm21650","protein_coding","Y",77704077,77730307
"108","ENSMUSG00000094647",108168532,"Gm21650","protein_coding","Y",77704077,77730307
"109","ENSMUSG00000094647",108168533,"Gm21650","protein_coding","Y",77704077,77730307
"110","ENSMUSG00000094647",108168595,"Gm21650","protein_coding","Y",77704077,77730307
"111","ENSMUSG00000096898",100041256,"Gm20867","protein_coding","Y",77972142,77974473
"112","ENSMUSG00000096898",100861743,"Gm20867","protein_coding","Y",77972142,77974473
"113","ENSMUSG00000096898",100862360,"Gm20867","protein_coding","Y",77972142,77974473
"114","ENSMUSG00000096898",108168574,"Gm20867","protein_coding","Y",77972142,77974473
"115","ENSMUSG00000096898",108168596,"Gm20867","protein_coding","Y",77972142,77974473
"116","ENSMUSG00000096885",NA,"Gm21797","protein_coding","Y",40730568,40731110
"117","ENSMUSG00000099792",NA,"Gm29564","protein_coding","Y",78224262,78250458
"118","ENSMUSG00000095452",100039034,"Gm20795","protein_coding","Y",40760259,40762701
"119","ENSMUSG00000095452",100040335,"Gm20795","protein_coding","Y",40760259,40762701
"120","ENSMUSG00000095452",100862345,"Gm20795","protein_coding","Y",40760259,40762701
"121","ENSMUSG00000096120",NA,"Gm21800","protein_coding","Y",41361843,41362385
"122","ENSMUSG00000094739",100039574,"Gm20806","protein_coding","Y",78846990,78849325
"123","ENSMUSG00000094739",100040429,"Gm20806","protein_coding","Y",78846990,78849325
"124","ENSMUSG00000094739",100042268,"Gm20806","protein_coding","Y",78846990,78849325
"125","ENSMUSG00000094739",100042475,"Gm20806","protein_coding","Y",78846990,78849325
"126","ENSMUSG00000094739",100861821,"Gm20806","protein_coding","Y",78846990,78849325
"127","ENSMUSG00000094739",108168537,"Gm20806","protein_coding","Y",78846990,78849325
"128","ENSMUSG00000094739",108168538,"Gm20806","protein_coding","Y",78846990,78849325
"129","ENSMUSG00000094739",108168539,"Gm20806","protein_coding","Y",78846990,78849325
"130","ENSMUSG00000094739",108168540,"Gm20806","protein_coding","Y",78846990,78849325
"131","ENSMUSG00000094739",108168541,"Gm20806","protein_coding","Y",78846990,78849325
"132","ENSMUSG00000094739",108168542,"Gm20806","protein_coding","Y",78846990,78849325
"133","ENSMUSG00000094739",108168543,"Gm20806","protein_coding","Y",78846990,78849325
"134","ENSMUSG00000094739",108168549,"Gm20806","protein_coding","Y",78846990,78849325
"135","ENSMUSG00000094739",108168550,"Gm20806","protein_coding","Y",78846990,78849325
"136","ENSMUSG00000094739",108168556,"Gm20806","protein_coding","Y",78846990,78849325
"137","ENSMUSG00000094739",108168561,"Gm20806","protein_coding","Y",78846990,78849325
"138","ENSMUSG00000094739",108168562,"Gm20806","protein_coding","Y",78846990,78849325
"139","ENSMUSG00000094739",108168563,"Gm20806","protein_coding","Y",78846990,78849325
"140","ENSMUSG00000094739",108168665,"Gm20806","protein_coding","Y",78846990,78849325
"141","ENSMUSG00000094739",118567358,"Gm20806","protein_coding","Y",78846990,78849325
"142","ENSMUSG00000095867",100042428,"Gm20917","protein_coding","Y",79160058,79162391
"143","ENSMUSG00000095867",108168609,"Gm20917","protein_coding","Y",79160058,79162391
"144","ENSMUSG00000101471",NA,"Gm29276","protein_coding","Y",42505428,42537595
"145","ENSMUSG00000094746",100042417,"Gm20916","protein_coding","Y",79330834,79356976
"146","ENSMUSG00000095578",NA,"Gm21760","protein_coding","Y",80145048,80171244
"147","ENSMUSG00000094181",NA,"Gm21739","protein_coding","Y",44187468,44219789
"148","ENSMUSG00000099740",NA,"Gm28897","protein_coding","Y",80938264,80964527
"149","ENSMUSG00000099894",108168582,"Gm20911","protein_coding","Y",81469276,81495356
"150","ENSMUSG00000101286",100861906,"Gm21317","protein_coding","Y",82236496,82262688
"151","ENSMUSG00000099925",NA,"Gm28827","protein_coding","Y",83042216,83068570
"152","ENSMUSG00000094782",NA,"Gm21256","protein_coding","Y",47455569,47487599
"153","ENSMUSG00000101653",NA,"Gm20792","protein_coding","Y",48316464,48348480
"154","ENSMUSG00000095153",NA,"Gm21095","protein_coding","Y",84108548,84134763
"155","ENSMUSG00000094660",108168579,"Gm21394","protein_coding","Y",84573841,84576176
"156","ENSMUSG00000100972",108168590,"Gm28553","protein_coding","Y",48861106,48887226
"157","ENSMUSG00000099840",100862025,"Gm21409","protein_coding","Y",84757954,84784171
"158","ENSMUSG00000095979",108168515,"Gm21209","protein_coding","Y",49567735,49594004
"159","ENSMUSG00000095979",108168524,"Gm21209","protein_coding","Y",49567735,49594004
"160","ENSMUSG00000095979",108168532,"Gm21209","protein_coding","Y",49567735,49594004
"161","ENSMUSG00000095979",108168595,"Gm21209","protein_coding","Y",49567735,49594004
"162","ENSMUSG00000095650",100040911,"Gm20854","protein_coding","Y",85539786,85542177
"163","ENSMUSG00000095650",108168565,"Gm20854","protein_coding","Y",85539786,85542177
"164","ENSMUSG00000100338",NA,"Gm28870","protein_coding","Y",50093855,50118710
"165","ENSMUSG00000100240",NA,"Gm20820","protein_coding","Y",86073041,86099221
"166","ENSMUSG00000102122",108168553,"Gm20883","protein_coding","Y",50604830,50631040
"167","ENSMUSG00000096769",108168594,"Gm21117","protein_coding","Y",51121799,51148063
"168","ENSMUSG00000094399",108168559,"Gm21477","protein_coding","Y",87128090,87154186
"169","ENSMUSG00000099856",100042201,"Gm20906","protein_coding","Y",87562235,87586960
"170","ENSMUSG00000100485",100861691,"Gm20920","protein_coding","Y",51848699,51874879
"171","ENSMUSG00000100485",108168558,"Gm20920","protein_coding","Y",51848699,51874879
"172","ENSMUSG00000101915",NA,"Gm28102","protein_coding","Y",88064584,88090763
"173","ENSMUSG00000102045",NA,"Gm21294","protein_coding","Y",89064075,89090284
"174","ENSMUSG00000095606",100861839,"Gm21258","protein_coding","Y",52776619,52802833
"175","ENSMUSG00000100608",NA,"Gm21996","protein_coding","Y",89724693,89756801
"176","ENSMUSG00000094729",434960,"Gm20747","protein_coding","Y",53412532,53414870
"177","ENSMUSG00000094729",100041284,"Gm20747","protein_coding","Y",53412532,53414870
"178","ENSMUSG00000094729",100862371,"Gm20747","protein_coding","Y",53412532,53414870
"179","ENSMUSG00000094729",108168629,"Gm20747","protein_coding","Y",53412532,53414870
"180","ENSMUSG00000096178",NA,"Gm20837","protein_coding","Y",90412517,90444532
"181","ENSMUSG00000100045",100042578,"Gm20929","protein_coding","Y",53840528,53866729
"182","ENSMUSG00000096850",NA,"Gm21748","protein_coding","Y",90850138,90850446
"183","ENSMUSG00000094570",100042594,"Gm20931","protein_coding","Y",55210299,55236450
"184","ENSMUSG00000095135",NA,"Gm21858","protein_coding","Y",55728335,55754487
"185","ENSMUSG00000101155",382301,"Sly","protein_coding","Y",57195716,57221890
"186","ENSMUSG00000101155",100861691,"Sly","protein_coding","Y",57195716,57221890
"187","ENSMUSG00000096122",434935,"Gm21943","protein_coding","Y",57539940,57542272
"188","ENSMUSG00000096122",108168625,"Gm21943","protein_coding","Y",57539940,57542272
"189","ENSMUSG00000096122",108168634,"Gm21943","protein_coding","Y",57539940,57542272
"190","ENSMUSG00000096122",108168635,"Gm21943","protein_coding","Y",57539940,57542272
"191","ENSMUSG00000096122",108168659,"Gm21943","protein_coding","Y",57539940,57542272
"192","ENSMUSG00000096122",108168661,"Gm21943","protein_coding","Y",57539940,57542272
"193","ENSMUSG00000096122",108168663,"Gm21943","protein_coding","Y",57539940,57542272
"194","ENSMUSG00000096122",108168664,"Gm21943","protein_coding","Y",57539940,57542272
"195","ENSMUSG00000101399",NA,"Gm28961","protein_coding","Y",57714225,57740460
"196","ENSMUSG00000096626",NA,"Gm21861","protein_coding","Y",58791095,58823125
"197","ENSMUSG00000095141",NA,"Gm28891","protein_coding","Y",60249730,60281778
"198","ENSMUSG00000100667",NA,"1700040F15Rik","protein_coding","Y",61110775,61142787
"199","ENSMUSG00000100726",NA,"Gm21497","protein_coding","Y",61655274,61681389
"200","ENSMUSG00000094821",108168520,"Gm21518","protein_coding","Y",62199394,62225665
"201","ENSMUSG00000094821",108168524,"Gm21518","protein_coding","Y",62199394,62225665
"202","ENSMUSG00000094821",108168532,"Gm21518","protein_coding","Y",62199394,62225665
"203","ENSMUSG00000094821",108168595,"Gm21518","protein_coding","Y",62199394,62225665
"204","ENSMUSG00000093950",100040031,"Gm20823","protein_coding","Y",62471032,62473373
"205","ENSMUSG00000093950",108168570,"Gm20823","protein_coding","Y",62471032,62473373
"206","ENSMUSG00000093950",108168660,"Gm20823","protein_coding","Y",62471032,62473373
"207","ENSMUSG00000100856",108168557,"Gm21627","protein_coding","Y",63236955,63263172
"208","ENSMUSG00000101766",100042279,"Gm20908","protein_coding","Y",64481794,64507980
"209","ENSMUSG00000101766",100861691,"Gm20908","protein_coding","Y",64481794,64507980
"210","ENSMUSG00000095785",108168660,"Gm20924","protein_coding","Y",65213713,65216055
"211","ENSMUSG00000095785",108168662,"Gm20924","protein_coding","Y",65213713,65216055
"212","ENSMUSG00000093993",380994,"Gm20736","protein_coding","Y",65386218,65412445
"213","ENSMUSG00000096666",100040786,"Gm20852","protein_coding","Y",66751056,66753392
"214","ENSMUSG00000096666",108168575,"Gm20852","protein_coding","Y",66751056,66753392
"215","ENSMUSG00000095302",70009,"Ssty2","protein_coding","Y",67057012,67059341
"216","ENSMUSG00000095302",100861817,"Ssty2","protein_coding","Y",67057012,67059341
"217","ENSMUSG00000095302",108168622,"Ssty2","protein_coding","Y",67057012,67059341
"218","ENSMUSG00000096016",108168524,"Gm20937","protein_coding","Y",68279920,68306167
"219","ENSMUSG00000096016",108168525,"Gm20937","protein_coding","Y",68279920,68306167
"220","ENSMUSG00000096016",108168532,"Gm20937","protein_coding","Y",68279920,68306167
"221","ENSMUSG00000096016",108168595,"Gm20937","protein_coding","Y",68279920,68306167
"222","ENSMUSG00000103528",NA,"Gm31571","protein_coding","Y",22020644,22046833
"223","ENSMUSG00000103919",100861973,"Gm21366","protein_coding","Y",22830566,22856736
"224","ENSMUSG00000093868",100039614,"Gm20809","protein_coding","Y",24410402,24412744
"225","ENSMUSG00000093868",108168580,"Gm20809","protein_coding","Y",24410402,24412744
"226","ENSMUSG00000093868",108168583,"Gm20809","protein_coding","Y",24410402,24412744
"227","ENSMUSG00000093868",108168584,"Gm20809","protein_coding","Y",24410402,24412744
"228","ENSMUSG00000093868",108168585,"Gm20809","protein_coding","Y",24410402,24412744
"229","ENSMUSG00000093868",108168586,"Gm20809","protein_coding","Y",24410402,24412744
"230","ENSMUSG00000093868",108168602,"Gm20809","protein_coding","Y",24410402,24412744
"231","ENSMUSG00000093868",108168603,"Gm20809","protein_coding","Y",24410402,24412744
"232","ENSMUSG00000093868",108168604,"Gm20809","protein_coding","Y",24410402,24412744
"233","ENSMUSG00000093868",108168605,"Gm20809","protein_coding","Y",24410402,24412744
"234","ENSMUSG00000093868",108168606,"Gm20809","protein_coding","Y",24410402,24412744
"235","ENSMUSG00000093868",108168607,"Gm20809","protein_coding","Y",24410402,24412744
"236","ENSMUSG00000093868",108168610,"Gm20809","protein_coding","Y",24410402,24412744
"237","ENSMUSG00000093868",108168611,"Gm20809","protein_coding","Y",24410402,24412744
"238","ENSMUSG00000093868",108168666,"Gm20809","protein_coding","Y",24410402,24412744
"239","ENSMUSG00000093868",108168667,"Gm20809","protein_coding","Y",24410402,24412744
"240","ENSMUSG00000093868",108168668,"Gm20809","protein_coding","Y",24410402,24412744
"241","ENSMUSG00000093868",108168670,"Gm20809","protein_coding","Y",24410402,24412744
"242","ENSMUSG00000093868",118568459,"Gm20809","protein_coding","Y",24410402,24412744
"243","ENSMUSG00000094911",NA,"Gm21921","protein_coding","Y",24750506,24751588
"244","ENSMUSG00000094939",NA,"Gm21773","protein_coding","Y",25263623,25264705
"245","ENSMUSG00000100055",108168552,"Gm20890","protein_coding","Y",26705950,26732144
"246","ENSMUSG00000099541",108168551,"Gm21488","protein_coding","Y",27451071,27477265
"247","ENSMUSG00000101158",108168547,"Gm20894","protein_coding","Y",28200697,28226857
"248","ENSMUSG00000100467",NA,"Gm29582","protein_coding","Y",30661878,30693906
"249","ENSMUSG00000101667",NA,"Gm29289","protein_coding","Y",2932582,2939416
"250","ENSMUSG00000093918",100862365,"Gm21677","protein_coding","Y",3294976,3306449
"251","ENSMUSG00000094511",100862383,"Gm21693","protein_coding","Y",3326750,3345329
"252","ENSMUSG00000093987",100862394,"Gm21704","protein_coding","Y",3367147,3410167
"253","ENSMUSG00000095948",100862398,"Gm21708","protein_coding","Y",3399188,3410167
"254","ENSMUSG00000096520",100041505,"Gm3376","protein_coding","Y",3771673,3783267
"255","ENSMUSG00000093927",108168642,"Gm20918","protein_coding","Y",5043937,5046265
"256","ENSMUSG00000095693",NA,"Gm21820","protein_coding","Y",5248359,5249441
"257","ENSMUSG00000096706",NA,"Gm21854","protein_coding","Y",5656986,5659574
"258","ENSMUSG00000096268",108168658,"Gm20914","protein_coding","Y",5725978,5728317
"259","ENSMUSG00000100634",NA,"Gm28171","protein_coding","Y",5793395,5795728
"260","ENSMUSG00000096036",118568460,"Gm21778","protein_coding","Y",5942460,5945031
"261","ENSMUSG00000095148",100041362,"Gm20873","protein_coding","Y",6267098,6269548
"262","ENSMUSG00000101243",NA,"Gm28919","protein_coding","Y",6583546,6615511
"263","ENSMUSG00000079806",NA,"Gm21719","protein_coding","Y",6680421,6682872
"264","ENSMUSG00000096686",108168638,"Gm20830","protein_coding","Y",6916300,6918282
"265","ENSMUSG00000094484",108168669,"Gm21244","protein_coding","Y",7165068,7169293
"266","ENSMUSG00000100939",101056194,"Gm28998","protein_coding","Y",7253787,7280017
"267","ENSMUSG00000094081",100040160,"Gm20826","protein_coding","Y",7632774,7638489
"268","ENSMUSG00000100645",101056210,"Gm28576","protein_coding","Y",7722941,7749195
"269","ENSMUSG00000099861",NA,"Gm29049","protein_coding","Y",7994833,7997168
"270","ENSMUSG00000095324",108168578,"Gm20825","protein_coding","Y",8069168,8071507
"271","ENSMUSG00000101928",105247282,"Gm20824","protein_coding","Y",8257907,8284105
"272","ENSMUSG00000101053",100039753,"Gm20815","protein_coding","Y",8832821,8835169
"273","ENSMUSG00000101053",115489283,"Gm20815","protein_coding","Y",8832821,8835169
"274","ENSMUSG00000101053",115489284,"Gm20815","protein_coding","Y",8832821,8835169
"275","ENSMUSG00000101053",115489285,"Gm20815","protein_coding","Y",8832821,8835169
"276","ENSMUSG00000101053",115489286,"Gm20815","protein_coding","Y",8832821,8835169
"277","ENSMUSG00000101053",115489287,"Gm20815","protein_coding","Y",8832821,8835169
"278","ENSMUSG00000101053",115489288,"Gm20815","protein_coding","Y",8832821,8835169
"279","ENSMUSG00000101053",115489291,"Gm20815","protein_coding","Y",8832821,8835169
"280","ENSMUSG00000101053",115489292,"Gm20815","protein_coding","Y",8832821,8835169
"281","ENSMUSG00000101053",115489293,"Gm20815","protein_coding","Y",8832821,8835169
"282","ENSMUSG00000101053",115489294,"Gm20815","protein_coding","Y",8832821,8835169
"283","ENSMUSG00000101053",115489297,"Gm20815","protein_coding","Y",8832821,8835169
"284","ENSMUSG00000101053",115489301,"Gm20815","protein_coding","Y",8832821,8835169
"285","ENSMUSG00000101053",115489302,"Gm20815","protein_coding","Y",8832821,8835169
"286","ENSMUSG00000101053",115489303,"Gm20815","protein_coding","Y",8832821,8835169
"287","ENSMUSG00000091077",100861879,"Gm21292","protein_coding","Y",9130999,9133924
"288","ENSMUSG00000094679",NA,"Gm21721","protein_coding","Y",9199824,9202190
"289","ENSMUSG00000094773",NA,"Gm21812","protein_coding","Y",9344836,9347184
"290","ENSMUSG00000096223",NA,"Gm21874","protein_coding","Y",9413518,9416148
"291","ENSMUSG00000094556",NA,"Gm20821","protein_coding","Y",9781804,9784197
"292","ENSMUSG00000095032",100861899,"Gm21310","protein_coding","Y",10144735,10147183
"293","ENSMUSG00000095242",108168637,"Gm20834","protein_coding","Y",10322618,10324589
"294","ENSMUSG00000101396",NA,"Gm28510","protein_coding","Y",10412737,10444691
"295","ENSMUSG00000095950",382131,"Gm20737","protein_coding","Y",10533609,10536042
"296","ENSMUSG00000095950",100039014,"Gm20737","protein_coding","Y",10533609,10536042
"297","ENSMUSG00000094813",665687,"Gm20777","protein_coding","Y",10750004,10752450
"298","ENSMUSG00000094813",100039014,"Gm20777","protein_coding","Y",10750004,10752450
"299","ENSMUSG00000094838",100040187,"Gm20828","protein_coding","Y",11197024,11199374
"300","ENSMUSG00000100231",NA,"Gm29554","protein_coding","Y",12273932,12306702
"301","ENSMUSG00000095508",108168614,"Gm20812","protein_coding","Y",12381981,12384008
"302","ENSMUSG00000104267",100039595,"Gm20807","protein_coding","Y",13042891,13045326
"303","ENSMUSG00000104267",100040262,"Gm20807","protein_coding","Y",13042891,13045326
"304","ENSMUSG00000095769",NA,"Gm21891","protein_coding","Y",13132950,13133492
"305","ENSMUSG00000096820",100039014,"Gm21425","protein_coding","Y",13161968,13164408
"306","ENSMUSG00000096820",100862042,"Gm21425","protein_coding","Y",13161968,13164408
"307","ENSMUSG00000095759",115489290,"Gm21828","protein_coding","Y",13223386,13223928
"308","ENSMUSG00000103468",100039014,"Gm21440","protein_coding","Y",13252391,13254834
"309","ENSMUSG00000103468",100862059,"Gm21440","protein_coding","Y",13252391,13254834
"310","ENSMUSG00000093903",100042337,"Gm21454","protein_coding","Y",13252442,13378804
"311","ENSMUSG00000093903",100862075,"Gm21454","protein_coding","Y",13252442,13378804
"312","ENSMUSG00000095462",NA,"Gm21725","protein_coding","Y",13348521,13349063
"313","ENSMUSG00000093883",NA,"Gm21866","protein_coding","Y",13465037,13465579
"314","ENSMUSG00000095900",665301,"Gm20773","protein_coding","Y",13494026,13496466
"315","ENSMUSG00000095900",100040171,"Gm20773","protein_coding","Y",13494026,13496466
"316","ENSMUSG00000095900",100040714,"Gm20773","protein_coding","Y",13494026,13496466
"317","ENSMUSG00000094227",NA,"Gm21767","protein_coding","Y",13941738,13942280
"318","ENSMUSG00000104191",102632745,"Gm30737","protein_coding","Y",14400710,14426798
"319","ENSMUSG00000095172",100040022,"Gm20822","protein_coding","Y",15882421,15884771
"320","ENSMUSG00000095520",100041550,"Gm20877","protein_coding","Y",17093873,17095892
"321","ENSMUSG00000095365",74484,"Rbm31y","protein_coding","Y",17400761,17402715
"322","ENSMUSG00000095365",100861987,"Rbm31y","protein_coding","Y",17400761,17402715
"323","ENSMUSG00000094161",NA,"Gm21904","protein_coding","Y",17845724,17846266
"324","ENSMUSG00000102739",665276,"Gm20772","protein_coding","Y",17874741,17877179
"325","ENSMUSG00000102739",100039014,"Gm20772","protein_coding","Y",17874741,17877179
"326","ENSMUSG00000094325",100039014,"Gm20831","protein_coding","Y",17874741,17967603
"327","ENSMUSG00000094325",100040223,"Gm20831","protein_coding","Y",17874741,17967603
"328","ENSMUSG00000096819",385550,"Srsy","protein_coding","Y",17935713,17937330
"329","ENSMUSG00000095879",NA,"Gm21764","protein_coding","Y",18061270,18061812
