libID	QC_pass	primary	secondary	supplementary	duplicate	primary_duplicate	mapped	primary_mapped	paired	read1	read2	paired_proper	paired_mapped	singleton	paired_diff_chr	paired_diff_chr5
AR54	58843944	58843944	0	0	0	0	58843944	58843944	58843944	29421972	29421972	58843944	58843944	0	0	0
AR153	39281356	39281356	0	0	0	0	39281356	39281356	39281356	19640678	19640678	39281356	39281356	0	0	0
IL23	50548138	50548138	0	0	0	0	50548138	50548138	50548138	25274069	25274069	50548138	50548138	0	0	0
AR33	40565570	40565570	0	0	0	0	40565570	40565570	40565570	20282785	20282785	40565570	40565570	0	0	0
AR13	38442478	38442478	0	0	0	0	38442478	38442478	38442478	19221239	19221239	38442478	38442478	0	0	0
AR34	40378412	40378412	0	0	0	0	40378412	40378412	40378412	20189206	20189206	40378412	40378412	0	0	0
AR24	37228750	37228750	0	0	0	0	37228750	37228750	37228750	18614375	18614375	37228750	37228750	0	0	0
AR17	39854188	39854188	0	0	0	0	39854188	39854188	39854188	19927094	19927094	39854188	39854188	0	0	0
AR156	79408690	79408690	0	0	0	0	79408690	79408690	79408690	39704345	39704345	79408690	79408690	0	0	0
AR11	33404960	33404960	0	0	0	0	33404960	33404960	33404960	16702480	16702480	33404960	33404960	0	0	0
AR3	40700262	40700262	0	0	0	0	40700262	40700262	40700262	20350131	20350131	40700262	40700262	0	0	0
AR138	44313550	44313550	0	0	0	0	44313550	44313550	44313550	22156775	22156775	44313550	44313550	0	0	0
AR133	39198440	39198440	0	0	0	0	39198440	39198440	39198440	19599220	19599220	39198440	39198440	0	0	0
IL22	37155296	37155296	0	0	0	0	37155296	37155296	37155296	18577648	18577648	37155296	37155296	0	0	0
AR131	40693824	40693824	0	0	0	0	40693824	40693824	40693824	20346912	20346912	40693824	40693824	0	0	0
AR39	56288658	56288658	0	0	0	0	56288658	56288658	56288658	28144329	28144329	56288658	56288658	0	0	0
AR16	44003502	44003502	0	0	0	0	44003502	44003502	44003502	22001751	22001751	44003502	44003502	0	0	0
AR154	37392194	37392194	0	0	0	0	37392194	37392194	37392194	18696097	18696097	37392194	37392194	0	0	0
AR4	42181376	42181376	0	0	0	0	42181376	42181376	42181376	21090688	21090688	42181376	42181376	0	0	0
